act,act1,type,item,spend_per_part
nmtr,alpine,trip,entrance,37.602350843600085
nmtr,alpine,trip,food,722.1919336493984
nmtr,alpine,trip,lodge,654.6054480500685
nmtr,alpine,trip,recreate,763.4714620873758
nmtr,alpine,trip,souvenir,130.63803830511984
nmtr,alpine,trip,transport,548.6692974028871
mtr,boat,trip,entrance,19.76716476183816
mtr,boat,trip,food,283.31123765302067
mtr,boat,trip,lodge,90.98197454558617
mtr,boat,trip,other,27.609167134819632
mtr,boat,trip,recreate,104.57329255011842
mtr,boat,trip,souvenir,36.85233226159861
mtr,boat,trip,transport,233.80219918170476
nmtr,camp,trip,entrance,15.074362841262895
nmtr,camp,trip,food,511.0968382736873
nmtr,camp,trip,lodge,247.4065951980682
nmtr,camp,trip,recreate,211.84897394894455
nmtr,camp,trip,souvenir,115.28844238170163
nmtr,camp,trip,transport,345.13002215972773
nmtr,hike,trip,entrance,10.780456347217982
nmtr,hike,trip,food,389.93832836929624
nmtr,hike,trip,lodge,183.164879999764
nmtr,hike,trip,recreate,145.84202649072145
nmtr,hike,trip,souvenir,92.69024035070564
nmtr,hike,trip,transport,344.58491861505814
nmtr,horse,trip,entrance,119.42102014671374
nmtr,horse,trip,food,514.4825344082267
nmtr,horse,trip,lodge,263.1076182100174
nmtr,horse,trip,recreate,304.18529828981355
nmtr,horse,trip,souvenir,123.21823854377536
nmtr,horse,trip,transport,438.19848977457417
mtr,motorcycle,trip,entrance,68.4563577588505
mtr,motorcycle,trip,food,697.8625958263024
mtr,motorcycle,trip,lodge,104.94897511653988
mtr,motorcycle,trip,other,72.84137443437189
mtr,motorcycle,trip,recreate,119.09471268885657
mtr,motorcycle,trip,souvenir,85.56222595680543
mtr,motorcycle,trip,transport,540.0914050210262
nmtr,mountain,trip,entrance,27.37642997716529
nmtr,mountain,trip,food,483.7928037523512
nmtr,mountain,trip,lodge,263.6828656572503
nmtr,mountain,trip,recreate,279.7048288703412
nmtr,mountain,trip,souvenir,132.32970550998016
nmtr,mountain,trip,transport,445.1387669584919
nmtr,nordic,trip,entrance,22.194983509699316
nmtr,nordic,trip,food,330.9358778572555
nmtr,nordic,trip,lodge,230.52569812982037
nmtr,nordic,trip,recreate,244.1773984653562
nmtr,nordic,trip,souvenir,74.1606111897787
nmtr,nordic,trip,transport,275.63164992619465
mtr,off_road,trip,entrance,33.07917622087964
mtr,off_road,trip,food,335.8354914304952
mtr,off_road,trip,lodge,92.52348296767825
mtr,off_road,trip,other,34.09926159141183
mtr,off_road,trip,recreate,98.60039488529134
mtr,off_road,trip,souvenir,43.0557037621227
mtr,off_road,trip,transport,311.83121318172823
nmtr,paddle,trip,entrance,27.874487826220733
nmtr,paddle,trip,food,425.64841345455454
nmtr,paddle,trip,lodge,281.9715511807663
nmtr,paddle,trip,recreate,301.02403099485383
nmtr,paddle,trip,souvenir,95.52720171892216
nmtr,paddle,trip,transport,317.27747406027703
nmtr,run,trip,entrance,99.70212934216966
nmtr,run,trip,food,599.1818211978224
nmtr,run,trip,lodge,211.16787703494518
nmtr,run,trip,recreate,284.56693820836847
nmtr,run,trip,souvenir,139.0373179275686
nmtr,run,trip,transport,483.97759469138873
mtr,rv,trip,entrance,33.294657654885214
mtr,rv,trip,food,720.7507975623361
mtr,rv,trip,lodge,353.73279652572245
mtr,rv,trip,other,71.40230012997225
mtr,rv,trip,recreate,219.13535013708292
mtr,rv,trip,souvenir,101.79679016949689
mtr,rv,trip,transport,702.6426804650258
nmtr,sail,trip,entrance,16.677235444104404
nmtr,sail,trip,food,471.8683714824308
nmtr,sail,trip,lodge,299.5108108144364
nmtr,sail,trip,recreate,247.8731525723763
nmtr,sail,trip,souvenir,84.2763196544673
nmtr,sail,trip,transport,412.05677539346505
nmtr,scuba,trip,entrance,26.756901661833375
nmtr,scuba,trip,food,648.0500286370892
nmtr,scuba,trip,lodge,647.0925355534646
nmtr,scuba,trip,recreate,459.5402040994029
nmtr,scuba,trip,souvenir,143.39499487410416
nmtr,scuba,trip,transport,798.092396957116
mtr,snowmobile,trip,entrance,34.871178608469954
mtr,snowmobile,trip,food,442.4307626870509
mtr,snowmobile,trip,lodge,292.5347785895047
mtr,snowmobile,trip,other,28.900831620587066
mtr,snowmobile,trip,recreate,136.9977001413618
mtr,snowmobile,trip,souvenir,48.335079054573946
mtr,snowmobile,trip,transport,342.1687731606115
nmtr,wheel,trip,entrance,46.60541068032769
nmtr,wheel,trip,food,673.6400881820048
nmtr,wheel,trip,lodge,142.69648988393234
nmtr,wheel,trip,recreate,212.2979818973753
nmtr,wheel,trip,souvenir,135.8726806867372
nmtr,wheel,trip,transport,442.5352637503993
nmtr,alpine,equip,accessory,54.7512086375635
nmtr,alpine,equip,apparel,152.90533385454629
nmtr,alpine,equip,equip,145.46608374539895
nmtr,alpine,equip,insurance,4.203592793377795
nmtr,alpine,equip,maintenance,4.266208752618216
nmtr,alpine,equip,other,146.17553407281483
nmtr,alpine,equip,registration,2.3195582744290335
nmtr,alpine,equip,service,48.92140577288374
mtr,boat,equip,apparel,40.86348036799403
mtr,boat,equip,insurance,14.02031769907679
mtr,boat,equip,maintenance,25.208076031688258
mtr,boat,equip,other,6.525222288649564
mtr,boat,equip,parts,37.74804233332236
mtr,boat,equip,registration,14.427153241129623
nmtr,camp,equip,accessory,34.66796197910438
nmtr,camp,equip,apparel,59.292231099995526
nmtr,camp,equip,equip,78.48237460654356
nmtr,camp,equip,insurance,6.9084087455661285
nmtr,camp,equip,maintenance,5.801722322580035
nmtr,camp,equip,other,29.330972032996538
nmtr,camp,equip,registration,3.25067643180008
nmtr,camp,equip,service,6.420904128251726
nmtr,hike,equip,accessory,18.813573217159153
nmtr,hike,equip,apparel,47.77258201997256
nmtr,hike,equip,equip,14.38569430168968
nmtr,hike,equip,insurance,5.749287939629991
nmtr,hike,equip,maintenance,4.9301069011511744
nmtr,hike,equip,other,9.858183490202775
nmtr,hike,equip,registration,2.682249326895841
nmtr,hike,equip,service,2.9281017863530203
nmtr,horse,equip,accessory,34.30521157335057
nmtr,horse,equip,apparel,75.04049723219889
nmtr,horse,equip,equip,69.84218848348604
nmtr,horse,equip,insurance,3.4014675596358055
nmtr,horse,equip,maintenance,3.49503828204846
nmtr,horse,equip,other,51.75809509657548
nmtr,horse,equip,registration,1.8589952491869652
nmtr,horse,equip,service,85.05846660647565
mtr,motorcycle,equip,apparel,79.62897938016077
mtr,motorcycle,equip,insurance,129.07328216996711
mtr,motorcycle,equip,maintenance,88.25072755222723
mtr,motorcycle,equip,other,3.868591961956474
mtr,motorcycle,equip,parts,96.87434816173936
mtr,motorcycle,equip,registration,45.38572072727289
nmtr,mountain,equip,accessory,40.583722982215754
nmtr,mountain,equip,apparel,72.36006536327142
nmtr,mountain,equip,equip,72.89270604556263
nmtr,mountain,equip,insurance,7.274305089775896
nmtr,mountain,equip,maintenance,6.409581803510413
nmtr,mountain,equip,other,30.270265778527737
nmtr,mountain,equip,registration,3.478168232241392
nmtr,mountain,equip,service,17.35659541009333
nmtr,nordic,equip,accessory,27.97065052465847
nmtr,nordic,equip,apparel,76.3998708291604
nmtr,nordic,equip,equip,78.53481128610512
nmtr,nordic,equip,insurance,5.055457345169824
nmtr,nordic,equip,maintenance,5.370164165691334
nmtr,nordic,equip,other,27.74867265371441
nmtr,nordic,equip,registration,3.038608693212879
nmtr,nordic,equip,service,20.583872655723127
mtr,off_road,equip,apparel,30.417655106818177
mtr,off_road,equip,insurance,71.50684063704904
mtr,off_road,equip,maintenance,77.76014391883422
mtr,off_road,equip,other,4.878837593091955
mtr,off_road,equip,parts,66.19725377915366
mtr,off_road,equip,registration,34.199391963869346
nmtr,paddle,equip,accessory,37.010903435251834
nmtr,paddle,equip,apparel,64.71728945150433
nmtr,paddle,equip,equip,108.23589598228887
nmtr,paddle,equip,insurance,7.139686040239855
nmtr,paddle,equip,maintenance,6.735888088721116
nmtr,paddle,equip,other,10.360536713411035
nmtr,paddle,equip,registration,3.713259436186863
nmtr,paddle,equip,service,39.6888622790842
nmtr,run,equip,accessory,34.50665074375724
nmtr,run,equip,apparel,105.9788924701176
nmtr,run,equip,equip,15.147504553880047
nmtr,run,equip,insurance,4.656990251110228
nmtr,run,equip,maintenance,3.819352588498096
nmtr,run,equip,other,30.06744324820931
nmtr,run,equip,registration,2.033679374894878
nmtr,run,equip,service,3.6255331800343265
mtr,rv,equip,insurance,98.78872347020044
mtr,rv,equip,maintenance,67.77249694693344
mtr,rv,equip,other,39.67661957877754
mtr,rv,equip,parts,94.80903730417484
mtr,rv,equip,registration,42.82209242301904
nmtr,sail,equip,accessory,36.95079138326867
nmtr,sail,equip,apparel,61.31943822874988
nmtr,sail,equip,equip,97.43243435502919
nmtr,sail,equip,insurance,3.396463305222311
nmtr,sail,equip,maintenance,4.246302270772434
nmtr,sail,equip,other,58.99631768252959
nmtr,sail,equip,registration,2.214898179932873
nmtr,sail,equip,service,68.17231729241708
nmtr,scuba,equip,accessory,36.789497222943645
nmtr,scuba,equip,apparel,90.88029098215185
nmtr,scuba,equip,equip,130.76545068683532
nmtr,scuba,equip,insurance,3.812921561788928
nmtr,scuba,equip,maintenance,4.412668158337942
nmtr,scuba,equip,other,33.05220052119859
nmtr,scuba,equip,registration,2.0826254329082317
nmtr,scuba,equip,service,120.92565062414033
mtr,snowmobile,equip,apparel,60.653869245885
mtr,snowmobile,equip,insurance,30.662195907252435
mtr,snowmobile,equip,maintenance,29.506461589335814
mtr,snowmobile,equip,other,5.425726897483911
mtr,snowmobile,equip,parts,42.4443873816848
mtr,snowmobile,equip,registration,17.337503171195713
nmtr,wheel,equip,accessory,34.715085342143816
nmtr,wheel,equip,apparel,61.057026904034096
nmtr,wheel,equip,equip,111.03817566574664
nmtr,wheel,equip,insurance,6.817207731270099
nmtr,wheel,equip,maintenance,5.61698933499953
nmtr,wheel,equip,other,3.8377490612950496
nmtr,wheel,equip,registration,3.0169102398521974
nmtr,wheel,equip,service,16.73120536348771
mtr,boat,vehicle,new_vehicle,76.45921032954548
mtr,boat,vehicle,used_vehicle,79.37571088017955
mtr,motorcycle,vehicle,new_vehicle,108.94390032367049
mtr,motorcycle,vehicle,used_vehicle,43.58075931437236
mtr,off_road,vehicle,new_vehicle,78.31664760201673
mtr,off_road,vehicle,used_vehicle,45.9177066947439
mtr,rv,vehicle,new_vehicle,322.0995095961457
mtr,rv,vehicle,used_vehicle,122.91399278713068
mtr,snowmobile,vehicle,new_vehicle,48.42121812499115
mtr,snowmobile,vehicle,used_vehicle,26.492578716873133
nmtr,alpine,vehicle,new_vehicle,16.90198043985321
nmtr,alpine,vehicle,used_vehicle,9.852223413848078
nmtr,camp,vehicle,new_vehicle,30.56579765925047
nmtr,camp,vehicle,used_vehicle,15.426825337630119
nmtr,hike,vehicle,new_vehicle,21.871009365023465
nmtr,hike,vehicle,used_vehicle,11.511702119930288
nmtr,horse,vehicle,new_vehicle,16.168706168634795
nmtr,horse,vehicle,used_vehicle,5.3236059682069135
nmtr,mountain,vehicle,new_vehicle,27.06988600833955
nmtr,mountain,vehicle,used_vehicle,13.401358007175608
nmtr,nordic,vehicle,new_vehicle,36.15011169947701
nmtr,nordic,vehicle,used_vehicle,9.191862115695802
nmtr,paddle,vehicle,new_vehicle,38.422907463045355
nmtr,paddle,vehicle,used_vehicle,15.982871676010298
nmtr,run,vehicle,new_vehicle,18.311488151639825
nmtr,run,vehicle,used_vehicle,7.116573318752116
nmtr,sail,vehicle,new_vehicle,18.68343645061378
nmtr,sail,vehicle,used_vehicle,3.863762068154595
nmtr,scuba,vehicle,new_vehicle,8.841001959264227
nmtr,scuba,vehicle,used_vehicle,4.335072824840782
nmtr,wheel,vehicle,new_vehicle,22.155042993773268
nmtr,wheel,vehicle,used_vehicle,11.564584934332784
